minutes,gross,budget,year,rating,score
101,119938730.00,18000000.00,1994,6.9,6.9
83,51109400.00,30000000.00,1994,6.5,6.4
101,38590500.00,50000000.00,1994,4.6,4.4
79,4350774.00,8000000.00,1994,6.6,6.5
83,126247.00,6200000.00,1994,3.6,3.3
154,107930000.00,8000000.00,1994,8.9,8.9
107,305070.00,20000000.00,1994,6.4,6.4
128,24332324.00,40000000.00,1994,6.2,6.1
95,38087756.00,40000000.00,1994,5.3,5.2
111,46815748.00,45000000.00,1994,6.4,6.3
97,144833357.00,22000000.00,1994,6.4,6.4
95,7881335.00,13000000.00,1994,6.7,6.7
108,32055248.00,25000000.00,1994,6.1,6.0
142,28341469.00,25000000.00,1994,9.3,9.3
110,57362581.00,45000000.00,1994,5.6,5.4
116,121248145.00,25000000.00,1994,7.2,7.2
118,75668868.00,35000000.00,1994,6.6,6.6
102,33423521.00,35000000.00,1994,3.9,3.8
99,44450000.00,27000000.00,1994,5.9,5.8
141,146282411.00,115000000.00,1994,7.2,7.2
102,11546543.00,2000000.00,1994,7.6,7.6
112,18090181.00,8000000.00,1994,6.4,6.4
125,65012000.00,70000000.00,1994,6.2,6.2
191,25052000.00,63000000.00,1994,6.7,6.6
90,108360000.00,30000000.00,1995,6.4,6.3
114,65000000.00,62000000.00,1995,6.8,6.8
140,172071312.00,62000000.00,1995,7.6,7.6
90,669276.00,28000000.00,1993,7.1,7.2
132,30306268.00,50000000.00,1995,6.3,6.3
91,66600000.00,30000000.00,1995,6.7,6.8
119,65807024.00,19000000.00,1995,6.9,6.8
121,184031112.00,100000000.00,1995,5.4,5.4
101,5400000.00,2500000.00,1995,8.1,8.1
178,75600000.00,72000000.00,1995,8.3,8.4
135,70960517.00,35000000.00,1995,7.6,7.5
98,10246600.00,25000.00,1995,6.6,6.6
178,42438300.00,52000000.00,1995,8.2,8.2
100,100328194.00,50000000.00,1995,6.1,6.0
97,56631572.00,12000000.00,1995,6.8,6.8
109,81022333.00,50000000.00,1995,5.2,5.0
123,32051917.00,20000000.00,1995,6.6,6.6
116,91400000.00,53000000.00,1995,7.3,7.3
124,11000000.00,98000000.00,1995,5.7,5.6
122,39025000.00,11000000.00,1995,7.5,7.6
104,25625110.00,7000000.00,1995,7.2,7.2
128,100012500.00,90000000.00,1995,7.6,7.6
97,22200000.00,25000000.00,1994,6.7,6.8
134,37600435.00,55000000.00,1995,6.0,5.9
98,4301331.00,4000000.00,1995,6.8,6.7
91,27900000.00,3500000.00,1995,7.3,7.3
105,72077000.00,30250000.00,1995,6.9,6.9
130,106635996.00,58000000.00,1995,7.2,7.2
107,7564000.00,20000000.00,1995,6.2,6.2
87,15126948.00,5000000.00,1995,4.9,4.9
103,17518220.00,20000000.00,1995,6.6,6.6
104,32333860.00,7500000.00,1995,6.7,6.7
94,1977544.00,250000.00,1995,6.5,6.5
96,35617599.00,45000000.00,1995,6.0,5.9
95,9795017.00,50000000.00,1995,5.3,5.1
139,2474000.00,14000000.00,1995,5.7,5.7
91,7417210.00,1500000.00,1995,7.1,7.0
101,14942422.00,40000000.00,1995,5.9,5.9
111,31968347.00,3600000.00,1995,7.5,7.6
94,2122561.00,6000000.00,1995,7.1,7.2
110,35324232.00,68000000.00,1995,5.7,5.6
101,70360285.00,18000000.00,1995,5.8,5.8
143,82528097.00,6500000.00,1995,7.3,7.3
114,50728000.00,22000000.00,1995,5.9,5.8
192,13560960.00,50000000.00,1995,7.1,7.1
127,67823573.00,50000000.00,1995,6.6,6.6
113,2832826.00,11000000.00,1995,6.0,6.2
81,141600000.00,55000000.00,1995,6.7,6.6
98,16115878.00,8000000.00,1995,6.5,6.6
107,18636537.00,32000000.00,1995,6.4,6.4
110,2600000.00,6000000.00,1995,7.4,7.5
139,31600000.00,28000000.00,1995,6.9,6.9
135,10400000.00,50000000.00,1995,5.3,5.1
127,100125340.00,33000000.00,1995,8.6,8.6
136,42700000.00,16500000.00,1995,7.6,7.7
128,20302961.00,45000000.00,1995,4.8,4.6
108,60054449.00,35000000.00,1995,5.8,5.8
92,21088568.00,13000000.00,1995,6.7,6.7
98,11797927.00,6000000.00,1995,6.3,6.1
104,4064333.00,25000000.00,1995,5.3,5.2
115,529766.00,7000000.00,1995,6.8,6.8
106,21200000.00,20000000.00,1995,6.8,6.8
81,191796233.00,30000000.00,1995,8.3,8.3
100,50024083.00,60000000.00,1995,5.5,5.4
